foreignList__name,foreignList__continent,foreignList__date,foreignList__isUpdated,foreignList__confirmAdd,foreignList__confirmAddCut,foreignList__confirm,foreignList__suspect,foreignList__dead,foreignList__heal,foreignList__nowConfirm,foreignList__confirmCompare,foreignList__nowConfirmCompare,foreignList__healCompare,foreignList__deadCompare,foreignList__children__name,foreignList__children__date,foreignList__children__nameMap,foreignList__children__isUpdated,foreignList__children__confirmAdd,foreignList__children__confirmAddCut,foreignList__children__confirm,foreignList__children__suspect,foreignList__children__dead,foreignList__children__heal,globalStatis__nowConfirm,globalStatis__confirm,globalStatis__heal,globalStatis__dead,globalStatis__nowConfirmAdd,globalStatis__confirmAdd,globalStatis__healAdd,globalStatis__deadAdd,globalStatis__lastUpdateTime,globalDailyHistory__date,globalDailyHistory__all__confirm,globalDailyHistory__all__dead,globalDailyHistory__all__heal,globalDailyHistory__all__newAddConfirm,globalDailyHistory__all__deadRate,globalDailyHistory__all__healRate,importStatis__TopList__province,importStatis__TopList__importedCase,countryAddConfirmRankList__nation,countryAddConfirmRankList__addConfirm,countryConfirmWeekCompareRankList__nation,countryConfirmWeekCompareRankList__day,countryConfirmWeekCompareRankList__day7,countryConfirmWeekCompareRankList__rate,continentStatis__date,continentStatis__statis__亚洲,continentStatis__statis__其他,continentStatis__statis__北美洲,continentStatis__statis__大洋洲,continentStatis__statis__欧洲,continentStatis__nowConfirm,continentStatis__rate,continentStatis__range,continentStatis__statis__南美洲,continentStatis__statis__非洲
,,,,,,,,,,,,,,,岛根县,12.17,Shimane,TRUE,0,0,170,0,0,155,,,,,,,,,,9.04,7812509,276983,4147798,285354,3.55,53.09,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,秋田县,12.17,Akita,TRUE,0,0,94,0,1,89,,,,,,,,,,9.05,7894942,278220,4208556,296009,3.52,53.31,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,鸟取县,12.17,Tottori,TRUE,0,0,68,0,0,58,,,,,,,,,,9.06,7937037,278927,4279702,294514,3.51,53.92,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,岩手县,10.14,,FALSE,0,0,25,0,0,0,,,,,,,,,,9.07,7966135,279359,4298672,265784,3.51,53.96,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,地区待确认,10.15,,FALSE,0,0,0,0,0,0,,,,,,,,,,9.08,7999876,279741,4331331,203875,3.5,54.14,,,,,,,,,,,,,,,,,,,
巴基斯坦,亚洲,3.3,FALSE,0,0,1625,0,20,29,1576,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.09,8037496,280317,4369462,218140,3.49,54.36,,,,,,,,,,,,,,,,,,,
菲律宾,亚洲,3.3,FALSE,0,0,1546,0,78,42,1426,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.1,8081606,281558,4418797,249990,3.48,54.68,,,,,,,,,,,,,,,,,,,
泰国,亚洲,3.3,FALSE,0,0,1524,0,9,127,1388,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.11,8131058,282718,4452662,288759,3.48,54.76,,,,,,,,,,,,,,,,,,,
沙特阿拉伯,亚洲,3.3,FALSE,0,0,1453,0,8,115,1330,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.12,8201696,283859,4490664,287948,3.46,54.75,,,,,,,,,,,,,,,,,,,
印度尼西亚,亚洲,3.3,FALSE,0,0,1414,0,122,75,1217,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.13,8242050,284566,4523056,307907,3.45,54.88,,,,,,,,,,,,,,,,,,,
南非,非洲,3.3,FALSE,0,0,1280,0,2,31,1247,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.14,8273907,284958,4547651,267228,3.44,54.96,,,,,,,,,,,,,,,,,,,
芬兰,欧洲,3.3,FALSE,0,0,1240,0,11,10,1219,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.15,8331771,285539,4600528,232991,3.43,55.22,,,,,,,,,,,,,,,,,,,
希腊,欧洲,3.29,FALSE,0,0,1156,0,38,52,1066,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.16,8380066,286892,4640788,252664,3.42,55.38,,,,,,,,,,,,,,,,,,,
印度,亚洲,3.3,FALSE,0,0,1071,0,29,99,943,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.17,8431413,288282,4691860,292288,3.42,55.65,,,,,,,,,,,,,,,,,,,
冰岛,欧洲,3.3,FALSE,0,0,1020,0,2,135,883,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.18,8488999,289309,4727741,315875,3.41,55.69,,,,,,,,,,,,,,,,,,,
墨西哥,北美洲,3.3,FALSE,0,0,993,0,20,4,969,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.19,8574027,290357,4764596,312026,3.39,55.57,,,,,,,,,,,,,,,,,,,
巴拿马,北美洲,3.3,FALSE,0,0,989,0,24,4,961,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.2,8615489,291010,4796395,304774,3.38,55.67,,,,,,,,,,,,,,,,,,,
多米尼加,北美洲,3.3,FALSE,0,0,901,0,42,4,855,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.21,8652854,291304,4822842,272549,3.37,55.74,,,,,,,,,,,,,,,,,,,
新加坡,亚洲,3.3,FALSE,0,0,879,0,3,228,648,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.22,8706436,291860,4872227,222242,3.35,55.96,,,,,,,,,,,,,,,,,,,
阿根廷,南美洲,3.3,FALSE,0,0,820,0,80,72,668,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.23,8768956,293066,4918812,246147,3.34,56.09,,,,,,,,,,,,,,,,,,,
克罗地亚,欧洲,3.3,FALSE,0,0,713,0,6,55,652,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.24,8821861,294318,4971609,298075,3.34,56.36,,,,,,,,,,,,,,,,,,,
钻石号邮轮,其他,3.31,FALSE,0,0,712,0,11,603,98,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.25,8878432,295347,5010277,302990,3.33,56.43,,,,,,,,,,,,,,,,,,,
哥伦比亚,南美洲,3.3,FALSE,0,0,702,0,10,10,682,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.26,8968134,296363,5053421,316866,3.3,56.35,,,,,,,,,,,,,,,,,,,
斯洛文尼亚,欧洲,3.29,FALSE,0,0,684,0,9,10,665,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.27,9011511,297100,5096810,298758,3.3,56.56,,,,,,,,,,,,,,,,,,,
爱沙尼亚,欧洲,3.29,FALSE,0,0,645,0,1,20,624,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.28,9045293,297376,5133158,302250,3.29,56.75,,,,,,,,,,,,,,,,,,,
卡塔尔,亚洲,3.3,FALSE,0,0,634,0,1,48,585,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.29,9098629,297910,5182338,222723,3.27,56.96,,,,,,,,,,,,,,,,,,,
阿联酋,亚洲,3.3,FALSE,0,0,611,0,5,61,545,0,0,0,0,,,,,,,,,,,,,,,,,,,,9.3,9153070,299090,5221385,242166,3.27,57.05,,,,,,,,,,,,,,,,,,,
埃及,非洲,3.3,FALSE,0,0,609,0,40,132,437,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.01,9205222,300222,5272408,285744,3.26,57.28,,,,,,,,,,,,,,,,,,,
新西兰,大洋洲,3.3,FALSE,0,0,589,0,1,56,532,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.02,9262030,301324,5309323,315607,3.25,57.32,,,,,,,,,,,,,,,,,,,
阿塞拜疆,亚洲,4.05,FALSE,0,0,584,0,5,32,547,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.03,9348882,302301,5349526,320508,3.23,57.22,,,,,,,,,,,,,,,,,,,
伊拉克,亚洲,3.29,FALSE,0,0,547,0,42,143,362,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.04,9400405,303054,5391211,304423,3.22,57.35,,,,,,,,,,,,,,,,,,,
摩洛哥,非洲,3.3,FALSE,0,0,516,0,27,13,476,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.05,9436471,303388,5421740,294738,3.22,57.46,,,,,,,,,,,,,,,,,,,
巴林,亚洲,3.3,FALSE,0,0,515,0,4,279,232,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.06,9521234,303948,5467780,235836,3.19,57.43,,,,,,,,,,,,,,,,,,,
阿尔及利亚,非洲,3.3,FALSE,0,0,511,0,31,32,448,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.07,9577129,304999,5508247,271403,3.18,57.51,,,,,,,,,,,,,,,,,,,
亚美尼亚,亚洲,3.3,FALSE,0,0,481,0,3,30,448,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.08,9637252,306037,5556532,338755,3.18,57.66,,,,,,,,,,,,,,,,,,,
乌克兰,欧洲,3.3,FALSE,0,0,480,0,11,6,463,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.09,9706896,307117,5597895,350726,3.16,57.67,,,,,,,,,,,,,,,,,,,
立陶宛,欧洲,3.29,FALSE,0,0,460,0,7,1,452,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.1,9773597,308268,5637002,383333,3.15,57.68,,,,,,,,,,,,,,,,,,,
匈牙利,欧洲,3.3,FALSE,0,0,447,0,15,34,398,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.11,9824624,308902,5662544,347499,3.14,57.64,,,,,,,,,,,,,,,,,,,
黎巴嫩,亚洲,3.3,FALSE,0,0,446,0,11,32,403,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.12,9871117,309315,5700864,307375,3.13,57.75,,,,,,,,,,,,,,,,,,,
拉脱维亚,欧洲,3.3,FALSE,0,0,347,0,0,1,346,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.13,9944764,309826,5757317,269949,3.12,57.89,,,,,,,,,,,,,,,,,,,
斯洛伐克,欧洲,3.3,FALSE,0,0,336,0,0,2,334,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.14,10004343,310768,5799125,287002,3.11,57.97,,,,,,,,,,,,,,,,,,,
安道尔,欧洲,3.29,FALSE,0,0,334,0,6,6,322,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.15,10076106,311947,5851455,336504,3.1,58.07,,,,,,,,,,,,,,,,,,,
波黑,欧洲,3.3,FALSE,0,0,324,0,6,8,310,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.16,10178025,312961,5892841,383551,3.07,57.9,,,,,,,,,,,,,,,,,,,
保加利亚,欧洲,3.28,FALSE,0,0,313,0,3,4,306,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.17,10259753,314110,5968103,392447,3.06,58.17,,,,,,,,,,,,,,,,,,,
突尼斯,非洲,3.3,FALSE,0,0,312,0,8,2,302,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.18,10314140,314748,6004894,389653,3.05,58.22,,,,,,,,,,,,,,,,,,,
乌拉圭,南美洲,3.3,FALSE,0,0,309,0,1,6,302,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.19,10359274,315196,6030386,338079,3.04,58.21,,,,,,,,,,,,,,,,,,,
哈萨克斯坦,亚洲,3.3,FALSE,0,0,302,0,1,21,280,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.2,10461200,315905,6075970,296847,3.02,58.08,,,,,,,,,,,,,,,,,,,
哥斯达黎加,北美洲,3.29,FALSE,0,0,295,0,2,3,290,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.21,10538727,317050,6118321,350405,3.01,58.06,,,,,,,,,,,,,,,,,,,
科威特,亚洲,3.3,FALSE,0,0,266,0,0,72,194,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.22,10620212,318466,6174818,423796,3,58.14,,,,,,,,,,,,,,,,,,,
约旦,亚洲,3.3,FALSE,0,0,259,0,3,18,238,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.23,10740924,319593,6228003,445386,2.98,57.98,,,,,,,,,,,,,,,,,,,
北马其顿,欧洲,3.3,FALSE,0,0,259,0,6,3,250,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.24,10846077,320727,6270863,465290,2.96,57.82,,,,,,,,,,,,,,,,,,,
摩尔多瓦,欧洲,3.29,FALSE,0,0,231,0,2,2,227,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.25,10927056,321511,6314313,438611,2.94,57.79,,,,,,,,,,,,,,,,,,,
圣马力诺,欧洲,3.3,FALSE,0,0,224,0,22,6,196,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.26,10988303,321953,6345200,435502,2.93,57.75,,,,,,,,,,,,,,,,,,,
布基纳法索,非洲,3.3,FALSE,0,0,222,0,12,23,187,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.27,11108033,322767,6406526,357680,2.91,57.67,,,,,,,,,,,,,,,,,,,
塞浦路斯,亚洲,3.29,FALSE,0,0,214,0,6,15,193,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.28,11201698,324073,6450666,404112,2.89,57.59,,,,,,,,,,,,,,,,,,,
阿尔巴尼亚,欧洲,3.3,FALSE,0,0,212,0,10,33,169,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.29,11304184,325287,6505914,479368,2.88,57.55,,,,,,,,,,,,,,,,,,,
越南,亚洲,3.3,FALSE,0,0,194,0,0,52,142,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.3,11440441,326507,6556047,505725,2.85,57.31,,,,,,,,,,,,,,,,,,,
阿曼,亚洲,3.3,FALSE,0,0,179,0,0,29,150,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.31,11569566,327728,6597214,535887,2.83,57.02,,,,,,,,,,,,,,,,,,,
科特迪瓦,非洲,3.3,FALSE,0,0,165,0,1,4,160,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.01,11655859,328641,6635140,473283,2.82,56.93,,,,,,,,,,,,,,,,,,,
塞内加尔,非洲,3.3,FALSE,0,0,162,0,0,28,134,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.02,11727180,329040,6676307,440543,2.81,56.93,,,,,,,,,,,,,,,,,,,
加纳,非洲,3.29,FALSE,0,0,152,0,5,2,145,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.03,11869382,329945,6744104,428608,2.78,56.82,,,,,,,,,,,,,,,,,,,
马耳他,欧洲,3.29,FALSE,0,0,149,0,0,2,147,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.04,12013036,331827,6808872,436038,2.76,56.68,,,,,,,,,,,,,,,,,,,
乌兹别克斯坦,亚洲,3.3,FALSE,0,0,149,0,2,7,140,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.05,12146905,334638,6864721,529224,2.75,56.51,,,,,,,,,,,,,,,,,,,
阿富汗,亚洲,3.3,FALSE,0,0,145,0,4,2,139,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.06,12274169,336130,6913174,581635,2.74,56.32,,,,,,,,,,,,,,,,,,,
喀麦隆,非洲,3.3,FALSE,0,0,142,0,6,5,131,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.07,12435749,337754,6963910,555829,2.72,56,,,,,,,,,,,,,,,,,,,
洪都拉斯,北美洲,3.3,FALSE,0,0,139,0,1,3,135,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.08,12559981,338781,7014446,441665,2.7,55.85,,,,,,,,,,,,,,,,,,,
文莱,亚洲,3.3,FALSE,0,0,127,0,1,38,88,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.09,12665643,339292,7056122,677759,2.68,55.71,,,,,,,,,,,,,,,,,,,
斯里兰卡,亚洲,3.3,FALSE,0,0,122,0,1,11,110,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.1,12837310,340484,7125312,427522,2.65,55.5,,,,,,,,,,,,,,,,,,,
古巴,北美洲,3.29,FALSE,0,0,119,0,3,4,112,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.11,12991933,342246,7174033,490450,2.63,55.22,,,,,,,,,,,,,,,,,,,
委内瑞拉,南美洲,3.29,FALSE,0,0,119,0,2,39,78,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.12,13160475,344193,7221381,579216,2.62,54.87,,,,,,,,,,,,,,,,,,,
尼日利亚,非洲,3.3,FALSE,0,0,111,0,1,3,107,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.13,13347556,345737,7300822,628100,2.59,54.7,,,,,,,,,,,,,,,,,,,
毛里求斯,非洲,3.29,FALSE,0,0,107,0,2,0,105,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.14,13545724,347435,7361848,657280,2.56,54.35,,,,,,,,,,,,,,,,,,,
巴勒斯坦,亚洲,3.3,FALSE,0,0,106,0,1,18,87,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.15,13707398,348716,7463717,593976,2.54,54.45,,,,,,,,,,,,,,,,,,,
柬埔寨,亚洲,3.3,FALSE,0,0,103,0,0,21,82,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.16,13847739,349292,7508332,528881,2.52,54.22,,,,,,,,,,,,,,,,,,,
格鲁吉亚,亚洲,3.3,FALSE,0,0,98,0,0,18,80,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.17,14048708,350595,7592006,456727,2.5,54.04,,,,,,,,,,,,,,,,,,,
白俄罗斯,欧洲,3.29,FALSE,0,0,94,0,0,32,62,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.18,14219521,352634,7660498,536210,2.48,53.87,,,,,,,,,,,,,,,,,,,
黑山,欧洲,3.3,FALSE,0,0,85,0,1,0,84,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.19,14404946,354984,7739698,594519,2.46,53.73,,,,,,,,,,,,,,,,,,,
吉尔吉斯斯坦,亚洲,3.29,FALSE,0,0,84,0,0,0,84,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.2,14633527,357315,7816190,620713,2.44,53.41,,,,,,,,,,,,,,,,,,,
玻利维亚,南美洲,3.29,FALSE,0,0,81,0,0,0,81,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.21,14852697,359593,7889025,641625,2.42,53.12,,,,,,,,,,,,,,,,,,,
刚果（金）,非洲,3.3,FALSE,0,0,81,0,8,3,70,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.22,15028637,361100,7976549,604883,2.4,53.08,,,,,,,,,,,,,,,,,,,
卢旺达,非洲,3.3,FALSE,0,0,70,0,0,0,70,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.23,15166632,362006,8025242,542672,2.39,52.91,,,,,,,,,,,,,,,,,,,
巴拉圭,南美洲,3.3,FALSE,0,0,64,0,3,1,60,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.24,15372831,363509,8121642,463634,2.36,52.83,,,,,,,,,,,,,,,,,,,
列支敦士登公国,欧洲,3.28,FALSE,0,0,56,0,0,0,56,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.25,15557885,366250,8209386,527241,2.35,52.77,,,,,,,,,,,,,,,,,,,
肯尼亚,非洲,3.3,FALSE,0,0,50,0,1,1,48,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.26,15749346,368947,8377982,577087,2.34,53.2,,,,,,,,,,,,,,,,,,,
孟加拉,亚洲,3.3,FALSE,0,0,49,0,5,19,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.27,15875272,370620,8419574,441069,2.33,53.04,,,,,,,,,,,,,,,,,,,
马达加斯加,非洲,3.29,FALSE,0,0,43,0,0,0,43,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.28,16089198,372385,8518284,746970,2.31,52.94,,,,,,,,,,,,,,,,,,,
摩纳哥,欧洲,3.29,FALSE,0,0,43,0,0,1,42,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.29,16245301,373613,8613941,564709,2.3,53.02,,,,,,,,,,,,,,,,,,,
赞比亚,非洲,3.3,FALSE,0,0,35,0,0,0,35,0,0,0,0,,,,,,,,,,,,,,,,,,,,11.3,16385348,374431,8679905,496756,2.29,52.97,,,,,,,,,,,,,,,,,,,
危地马拉,北美洲,3.29,FALSE,0,0,34,0,1,10,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.01,16573567,376092,8795581,453058,2.27,53.07,,,,,,,,,,,,,,,,,,,
乌干达,非洲,3.3,FALSE,0,0,33,0,0,0,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.02,16770444,379178,8905720,491329,2.26,53.1,,,,,,,,,,,,,,,,,,,
多哥,非洲,3.3,FALSE,0,0,30,0,1,7,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.03,16985226,382340,9035049,591303,2.25,53.19,,,,,,,,,,,,,,,,,,,
圭亚那,南美洲,3.29,FALSE,0,0,28,0,1,6,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.04,17217539,385558,9134129,628484,2.24,53.05,,,,,,,,,,,,,,,,,,,
马里,非洲,3.3,FALSE,0,0,25,0,2,0,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.05,17460432,388493,9231584,645098,2.22,52.87,,,,,,,,,,,,,,,,,,,
吉布提,非洲,3.3,FALSE,0,0,25,0,0,0,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.06,17671322,390768,9360440,605089,2.21,52.97,,,,,,,,,,,,,,,,,,,
埃塞俄比亚,非洲,3.3,FALSE,0,0,23,0,0,2,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.07,17847426,391849,9428295,549813,2.2,52.83,,,,,,,,,,,,,,,,,,,
缅甸,亚洲,4.03,FALSE,0,0,20,0,1,0,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.08,18073498,393780,9554948,494654,2.18,52.87,,,,,,,,,,,,,,,,,,,
刚果（布）,非洲,3.28,FALSE,0,0,19,0,0,0,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.09,18296161,396735,9659771,546586,2.17,52.8,,,,,,,,,,,,,,,,,,,
坦桑尼亚,非洲,3.3,FALSE,0,0,19,0,0,1,18,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.1,18534267,400408,9799113,644585,2.16,52.87,,,,,,,,,,,,,,,,,,,
尼日尔,非洲,3.3,FALSE,0,0,18,0,1,0,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.11,18762531,403727,9903567,692035,2.15,52.78,,,,,,,,,,,,,,,,,,,
马尔代夫,亚洲,3.3,FALSE,0,0,17,0,0,11,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.12,19025649,407065,10080121,656081,2.14,52.98,,,,,,,,,,,,,,,,,,,
几内亚,非洲,3.3,FALSE,0,0,16,0,0,1,15,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.13,21644061,464456,10391370,649324,2.15,48.01,,,,,,,,,,,,,,,,,,,
赤道几内亚,非洲,3.3,FALSE,0,0,14,0,0,0,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.14,21831962,465833,10471484,574855,2.13,47.96,,,,,,,,,,,,,,,,,,,
蒙古,亚洲,3.28,FALSE,0,0,12,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.15,22058114,467852,10618708,496053,2.12,48.14,,,,,,,,,,,,,,,,,,,
厄立特里亚,非洲,3.3,FALSE,0,0,12,0,0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.16,22268523,471219,10754898,585343,2.12,48.3,,,,,,,,,,,,,,,,,,,
纳米比亚,非洲,3.29,FALSE,0,0,11,0,0,0,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,12.17,22528440,474923,10917780,0,2.11,48.46,,,,,,,,,,,,,,,,,,,
叙利亚,亚洲,3.3,FALSE,0,0,10,0,1,0,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斯威士兰,非洲,3.29,FALSE,0,0,9,0,0,0,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海地,北美洲,3.28,FALSE,0,0,8,0,0,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
莫桑比克,非洲,3.28,FALSE,0,0,8,0,0,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞舌尔,非洲,3.29,FALSE,0,0,8,0,0,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老挝,亚洲,3.29,FALSE,0,0,8,0,0,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏里南,南美洲,3.28,FALSE,0,0,8,0,0,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,北美洲,3.28,FALSE,0,0,7,0,0,0,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
津巴布韦,非洲,3.28,FALSE,0,0,7,0,1,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加蓬,非洲,3.27,FALSE,0,0,7,0,1,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,非洲,3.3,FALSE,0,0,7,0,2,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梵蒂冈,欧洲,3.29,FALSE,0,0,6,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中非共和国,非洲,3.28,FALSE,0,0,6,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛得角,非洲,3.29,FALSE,0,0,6,0,1,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏丹,非洲,3.3,FALSE,0,0,6,0,1,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贝宁,非洲,3.28,FALSE,0,0,6,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乍得,非洲,3.29,FALSE,0,0,5,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毛里塔尼亚,非洲,3.3,FALSE,0,0,5,0,0,2,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼泊尔,亚洲,3.25,FALSE,0,0,5,0,0,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不丹,亚洲,3.3,FALSE,0,0,4,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尼加拉瓜,北美洲,3.28,FALSE,0,0,4,0,1,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冈比亚,非洲,3.3,FALSE,0,0,4,0,1,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
索马里,非洲,3.27,FALSE,0,0,3,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利比里亚,非洲,3.21,FALSE,0,0,3,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几内亚比绍,非洲,3.25,FALSE,0,0,2,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伯利兹,北美洲,3.28,FALSE,0,0,2,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东帝汶,亚洲,3.21,FALSE,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巴布亚新几内亚,大洋洲,3.21,FALSE,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
